Layer AlignmentX(mm) ErrorX(mm) AlignmentY(mm) ErrorY(mm)
0 -1.32056 1 0.38187 1
1 1.32975 0.964655 -0.893392 0.521912
2 0.884527 1.03189 -0.061905 0.457479
3 0.747707 1.29441 -0.0990735 0.172033
4 -1.81389 0.678665 -0.111573 0.375698
5 -0.823568 0.825907 1.41996 1.4595
6 0.532264 3.67832 0.246623 0.279094
7 -0.642515 2.49417 0.429397 0.539919
8 -2.54304 2.40399 0.584487 0.719074
9 0.682991 3.90875 0.371725 3.63446
10 5.0757 1.2569 -0.0253496 3.342
11 0.462566 0.940399 0.00570148 0.323098
12 3.4653 1.18708 -0.0398592 2.91768
13 -2.89196 1.23544 1.63966 1.28868
14 -0.510989 3.85347 -0.102781 0.947005
