#mip results PROTO15-TB2022-03
#layer chip channel mpv empv widthmpv chi2ndf nentries
0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0
0 0 2 0 0 0 0 0
0 0 3 4.46394 1.69408 3.51956 16.2453 477
0 0 4 0 0 0 0 0
0 0 5 0 0 0 0 0
0 0 6 0 0 0 0 0
0 0 7 13.0319 0.0947554 1.1065 2.6844 1034
0 0 8 0 0 0 0 0
0 0 9 0 0 0 0 0
0 0 10 10.1928 0.0513164 0.576813 7.14126 2179
0 0 11 0 0 0 0 0
0 0 12 0 0 0 0 0
0 0 13 13.0132 0.063456 0.764163 12.0982 3281
0 0 14 0 0 0 0 0
0 0 15 0 0 0 0 0
0 0 16 9.28586 0.0811875 0.577408 0.941813 1169
0 0 17 0 0 0 0 0
0 0 18 0 0 0 0 0
0 0 19 9.31557 0.133979 0.497657 12.4779 1251
0 0 20 0 0 0 0 0
0 0 21 0 0 0 0 0
0 0 22 10.1544 0.0506145 0.528899 9.29667 2265
0 0 23 0 0 0 0 0
0 0 24 0 0 0 0 0
0 0 25 7.1055 0.605191 2.64445 26.7532 1494
0 0 26 0 0 0 0 0
0 0 27 0 0 0 0 0
0 0 28 4.86872 0.102823 1.24082 6.37792 838
0 0 29 0 0 0 0 0
0 0 30 0 0 0 0 0
0 0 31 11.6616 0.213341 1.41994 8.02014 1385
0 0 32 0 0 0 0 0
0 0 33 0 0 0 0 0
0 0 34 0 0 0 0 0
0 0 35 13.5601 0.220729 2.66949 6.17659 948
0 0 36 0 0 0 0 0
0 0 37 0 0 0 0 0
0 0 38 9.31239 0.182219 0.657243 7.25107 780
0 0 39 0 0 0 0 0
0 0 40 0 0 0 0 0
0 0 41 0 0 0 0 0
0 0 42 0 0 0 0 0
0 0 43 0 0 0 0 0
0 0 44 0 0 0 0 0
0 0 45 0 0 0 0 0
0 0 46 0 0 0 0 0
0 0 47 9.66129 0.105045 1.04714 2.57902 815
0 0 48 0 0 0 0 0
0 0 49 0 0 0 0 0
0 0 50 0 0 0 0 0
0 0 51 0 0 0 0 0
0 0 52 0 0 0 0 0
0 0 53 0 0 0 0 0
0 0 54 0 0 0 0 0
0 0 55 0 0 0 0 0
0 0 56 0 0 0 0 0
0 0 57 0 0 0 0 0
0 0 58 0 0 0 0 0
0 0 59 0 0 0 0 0
0 0 60 0 0 0 0 0
0 0 61 0 0 0 0 0
0 0 62 0 0 0 0 0
0 0 63 0 0 0 0 0
0 1 0 0 0 0 0 0
0 1 1 0 0 0 0 0
0 1 2 0 0 0 0 0
0 1 3 0 0 0 0 0
0 1 4 0 0 0 0 0
0 1 5 0 0 0 0 0
0 1 6 0 0 0 0 0
0 1 7 0 0 0 0 0
0 1 8 0 0 0 0 0
0 1 9 0 0 0 0 0
0 1 10 0 0 0 0 0
0 1 11 0 0 0 0 0
0 1 12 0 0 0 0 0
0 1 13 0 0 0 0 0
0 1 14 0 0 0 0 0
0 1 15 0 0 0 0 0
0 1 16 0 0 0 0 0
0 1 17 0 0 0 0 0
0 1 18 0 0 0 0 0
0 1 19 0 0 0 0 0
0 1 20 0 0 0 0 0
0 1 21 0 0 0 0 0
0 1 22 0 0 0 0 0
0 1 23 0 0 0 0 0
0 1 24 0 0 0 0 0
0 1 25 0 0 0 0 0
0 1 26 0 0 0 0 0
0 1 27 0 0 0 0 0
0 1 28 0 0 0 0 0
0 1 29 0 0 0 0 0
0 1 30 0 0 0 0 0
0 1 31 0 0 0 0 0
0 1 32 0 0 0 0 0
0 1 33 0 0 0 0 0
0 1 34 0 0 0 0 0
0 1 35 0 0 0 0 0
0 1 36 0 0 0 0 0
0 1 37 0 0 0 0 0
0 1 38 0 0 0 0 0
0 1 39 0 0 0 0 0
0 1 40 0 0 0 0 0
0 1 41 0 0 0 0 0
0 1 42 0 0 0 0 0
0 1 43 0 0 0 0 0
0 1 44 0 0 0 0 0
0 1 45 0 0 0 0 0
0 1 46 0 0 0 0 0
0 1 47 0 0 0 0 0
0 1 48 0 0 0 0 0
0 1 49 0 0 0 0 0
0 1 50 0 0 0 0 0
0 1 51 0 0 0 0 0
0 1 52 0 0 0 0 0
0 1 53 0 0 0 0 0
0 1 54 0 0 0 0 0
0 1 55 0 0 0 0 0
0 1 56 0 0 0 0 0
0 1 57 0 0 0 0 0
0 1 58 0 0 0 0 0
0 1 59 0 0 0 0 0
0 1 60 0 0 0 0 0
0 1 61 0 0 0 0 0
0 1 62 0 0 0 0 0
0 1 63 0 0 0 0 0
0 2 0 0 0 0 0 0
0 2 1 0 0 0 0 0
0 2 2 0 0 0 0 0
0 2 3 0 0 0 0 0
0 2 4 0 0 0 0 0
0 2 5 0 0 0 0 0
0 2 6 0 0 0 0 0
0 2 7 11.5803 0.111264 0.660445 12.8397 1684
0 2 8 0 0 0 0 0
0 2 9 0 0 0 0 0
0 2 10 0 0 0 0 0
0 2 11 0 0 0 0 0
0 2 12 0 0 0 0 0
0 2 13 5.0624 0.0929356 0.673631 4.70643 556
0 2 14 0 0 0 0 0
0 2 15 0 0 0 0 0
0 2 16 14.0608 0.0790436 0.948668 6.12211 1614
0 2 17 0 0 0 0 0
0 2 18 0 0 0 0 0
0 2 19 12.0396 0.0647231 0.711441 6.71782 1544
0 2 20 0 0 0 0 0
0 2 21 0 0 0 0 0
0 2 22 0 0 0 0 0
0 2 23 0 0 0 0 0
0 2 24 0 0 0 0 0
0 2 25 11.7958 0.072393 0.972179 3.50096 1255
0 2 26 0 0 0 0 0
0 2 27 0 0 0 0 0
0 2 28 0 0 0 0 0
0 2 29 0 0 0 0 0
0 2 30 0 0 0 0 0
0 2 31 0 0 0 0 0
0 2 32 0 0 0 0 0
0 2 33 0 0 0 0 0
0 2 34 0 0 0 0 0
0 2 35 0 0 0 0 0
0 2 36 0 0 0 0 0
0 2 37 0 0 0 0 0
0 2 38 5.65053 0.0852832 0.595885 2.5431 462
0 2 39 0 0 0 0 0
0 2 40 0 0 0 0 0
0 2 41 0 0 0 0 0
0 2 42 0 0 0 0 0
0 2 43 0 0 0 0 0
0 2 44 4.82908 0.0915276 0.593919 4.26608 580
0 2 45 5.4664 0.0861917 0.493634 2.26401 578
0 2 46 0 0 0 0 0
0 2 47 0 0 0 0 0
0 2 48 0 0 0 0 0
0 2 49 0 0 0 0 0
0 2 50 0 0 0 0 0
0 2 51 0 0 0 0 0
0 2 52 0 0 0 0 0
0 2 53 0 0 0 0 0
0 2 54 0 0 0 0 0
0 2 55 0 0 0 0 0
0 2 56 0 0 0 0 0
0 2 57 0 0 0 0 0
0 2 58 0 0 0 0 0
0 2 59 0 0 0 0 0
0 2 60 0 0 0 0 0
0 2 61 0 0 0 0 0
0 2 62 0 0 0 0 0
0 2 63 0 0 0 0 0
0 3 0 0 0 0 0 0
0 3 1 0 0 0 0 0
0 3 2 0 0 0 0 0
0 3 3 0 0 0 0 0
0 3 4 0 0 0 0 0
0 3 5 0 0 0 0 0
0 3 6 0 0 0 0 0
0 3 7 0 0 0 0 0
0 3 8 0 0 0 0 0
0 3 9 0 0 0 0 0
0 3 10 0 0 0 0 0
0 3 11 0 0 0 0 0
0 3 12 0 0 0 0 0
0 3 13 0 0 0 0 0
0 3 14 0 0 0 0 0
0 3 15 0 0 0 0 0
0 3 16 0 0 0 0 0
0 3 17 0 0 0 0 0
0 3 18 0 0 0 0 0
0 3 19 0 0 0 0 0
0 3 20 0 0 0 0 0
0 3 21 0 0 0 0 0
0 3 22 0 0 0 0 0
0 3 23 0 0 0 0 0
0 3 24 0 0 0 0 0
0 3 25 0 0 0 0 0
0 3 26 0 0 0 0 0
0 3 27 0 0 0 0 0
0 3 28 0 0 0 0 0
0 3 29 0 0 0 0 0
0 3 30 0 0 0 0 0
0 3 31 0 0 0 0 0
0 3 32 0 0 0 0 0
0 3 33 0 0 0 0 0
0 3 34 0 0 0 0 0
0 3 35 0 0 0 0 0
0 3 36 0 0 0 0 0
0 3 37 0 0 0 0 0
0 3 38 0 0 0 0 0
0 3 39 0 0 0 0 0
0 3 40 0 0 0 0 0
0 3 41 0 0 0 0 0
0 3 42 0 0 0 0 0
0 3 43 0 0 0 0 0
0 3 44 0 0 0 0 0
0 3 45 0 0 0 0 0
0 3 46 0 0 0 0 0
0 3 47 0 0 0 0 0
0 3 48 0 0 0 0 0
0 3 49 0 0 0 0 0
0 3 50 0 0 0 0 0
0 3 51 0 0 0 0 0
0 3 52 0 0 0 0 0
0 3 53 0 0 0 0 0
0 3 54 0 0 0 0 0
0 3 55 0 0 0 0 0
0 3 56 0 0 0 0 0
0 3 57 0 0 0 0 0
0 3 58 0 0 0 0 0
0 3 59 0 0 0 0 0
0 3 60 0 0 0 0 0
0 3 61 0 0 0 0 0
0 3 62 0 0 0 0 0
0 3 63 0 0 0 0 0
0 4 0 11.8382 0.0630537 0.937475 2.70823 2793
0 4 1 10.9317 0.132471 1.65298 7.75189 1924
0 4 2 8.6989 0.0829979 1.64427 4.29936 1914
0 4 3 8.74581 0.0547344 1.07495 8.52415 5160
0 4 4 9.61641 0.0628438 1.07259 9.2278 4073
0 4 5 11.44 0.0755598 1.55845 2.23427 2993
0 4 6 9.86169 0.092604 1.9716 4.33075 2807
0 4 7 11.9612 0.116536 1.75367 2.17918 1481
0 4 8 12.354 0.0882595 0.719572 10.6773 1857
0 4 9 11.3215 0.0648245 1.5653 6.43389 4236
0 4 10 11.5338 0.0718192 1.53019 6.51312 2985
0 4 11 13.3527 0.0670485 1.0568 4.07536 2529
0 4 12 12.0757 0.0555963 1.18167 5.73078 5035
0 4 13 10.0436 0.0667305 1.57265 10.9064 4427
0 4 14 10.0254 0.076693 2.14339 10.5864 4327
0 4 15 9.36231 0.0662305 2.4421 17.9279 7390
0 4 16 11.3696 0.088045 0.760146 6.59605 1556
0 4 17 11.929 0.0706561 1.50911 8.75741 3638
0 4 18 12.041 0.0565766 0.856625 41.3772 6951
0 4 19 13.4833 0.0904765 1.20415 2.59066 1903
0 4 20 9.30009 0.0739598 2.02304 5.41719 5030
0 4 21 10.9213 0.0608336 1.01479 2.4209 4194
0 4 22 10.8311 0.0862338 2.12279 4.42886 3273
0 4 23 12.2783 0.0906155 2.2194 8.1674 3154
0 4 24 13.8782 0.0784303 1.30928 3.74444 2519
0 4 25 12.1914 0.104352 1.84862 5.53489 2210
0 4 26 11.9734 0.0873193 2.89759 46.0811 6357
0 4 27 10.5515 0.0527092 1.44985 15.6288 8045
0 4 28 11.1753 0.0893457 2.64812 16.726 5238
0 4 29 12.6186 0.0632554 0.938615 2.94574 4360
0 4 30 11.5258 0.0422353 1.21224 6.16668 7759
0 4 31 11.7645 0.11198 1.84705 6.11434 2006
0 4 32 11.8958 0.0592038 0.890094 10.3961 4323
0 4 33 11.8161 0.0559753 1.71496 3.6801 6280
0 4 34 11.1156 0.069615 2.41324 21.6988 7302
0 4 35 11.4335 0.124977 1.58002 3.22643 1388
0 4 36 11.4704 0.0725484 2.33594 14.2153 6282
0 4 37 0 0 0 0 0
0 4 38 12.2267 0.13219 1.5047 2.26992 841
0 4 39 11.9811 0.180095 2.18575 2.12946 869
0 4 40 10.9229 0.0712388 1.54085 11.5349 4246
0 4 41 10.9673 0.0900763 1.74546 4.28855 2637
0 4 42 11.9893 0.172577 3.72746 7.04944 2738
0 4 43 12.8153 0.0751644 1.31201 18.5199 3859
0 4 44 13.2823 0.165343 2.42338 4.53446 1358
0 4 45 10.4588 0.0851824 2.03114 11.975 3634
0 4 46 13.6579 0.0477551 0.892879 6.66165 5696
0 4 47 0 0 0 0 0
0 4 48 11.4062 0.103776 2.82444 3.05849 3599
0 4 49 13.384 0.0867393 1.05248 2.95888 2060
0 4 50 9.28474 0.121142 1.89474 6.94685 1879
0 4 51 13.5264 0.333982 3.34513 1.87054 687
0 4 52 13.1738 0.0807339 1.01777 4.34974 2306
0 4 53 8.65597 0.225156 1.58787 2.58433 634
0 4 54 11.591 0.119494 1.88977 4.28661 1823
0 4 55 13.1033 0.101438 0.943237 1.11393 1262
0 4 56 11.9625 0.147135 1.25639 1.13434 664
0 4 57 13.7592 0.232863 2.40279 1.11922 632
0 4 58 12.0006 0.117849 1.54292 2.86473 1443
0 4 59 12.365 0.0665838 0.85897 3.87422 3211
0 4 60 10.7533 0.144117 0.76018 2.91738 832
0 4 61 14.6854 0.288863 3.22388 2.1195 752
0 4 62 10.2604 0.18349 3.00458 8.70155 1631
0 4 63 12.367 0.168086 2.11123 2.05309 1096
0 5 0 12.5633 0.107268 0.849962 2.97577 770
0 5 1 11.8017 0.127693 0.793933 3.67396 718
0 5 2 12.5461 0.124445 1.09159 1.30572 496
0 5 3 12.1083 0.110797 1.44324 1.54132 1287
0 5 4 12.4099 0.111446 1.85592 3.3353 1639
0 5 5 11.0489 0.208147 2.53246 4.46281 957
0 5 6 13.0891 0.178961 1.45564 1.55981 524
0 5 7 12.8486 0.135998 1.0768 3.03975 1004
0 5 8 12.1152 0.228364 3.06046 4.83679 1046
0 5 9 12.1077 0.264879 1.36275 3.88527 629
0 5 10 11.384 0.222314 2.45453 1.12888 601
0 5 11 12.4762 0.0821052 1.04374 1.40409 1831
0 5 12 11.621 0.150814 1.88496 3.33956 1051
0 5 13 12.5759 0.119715 2.21019 4.94456 2087
0 5 14 12.0468 0.133268 1.81256 7.08312 1724
0 5 15 13.5534 0.153713 2.97553 5.90588 2370
0 5 16 12.7459 0.158224 0.995971 1.03232 465
0 5 17 12.9121 0.0773024 1.73666 2.80123 2787
0 5 18 12.9975 0.0832887 1.04317 2.43256 2006
0 5 19 10.5937 0.0963322 1.41399 2.15764 1668
0 5 20 7.55448 0.295177 4.18962 16.0377 2634
0 5 21 13.2255 0.220934 1.98893 2.4844 542
0 5 22 10.1015 0.181201 2.30385 8.05985 1223
0 5 23 12.1959 0.0764304 1.62987 8.08164 2843
0 5 24 12.9804 0.0890581 1.00275 1.77679 1410
0 5 25 9.34132 0.134002 1.35523 19.2234 3055
0 5 26 14.6572 0.11261 2.74878 10.46 3427
0 5 27 11.1185 0.059342 1.13909 5.39934 4255
0 5 28 11.6281 0.0557293 0.971217 6.38008 3866
0 5 29 13.0255 0.0773151 1.59839 23.4866 4895
0 5 30 10.273 0.0757785 1.00093 12.4655 3496
0 5 31 10.4578 0.0793428 1.20616 15.2982 3714
0 5 32 9.36394 0.0639007 1.28586 15.2006 5048
0 5 33 10.4049 0.0949073 3.02589 7.87413 5639
0 5 34 12.0555 0.0515127 1.59728 3.99074 6506
0 5 35 10.3878 0.112796 2.251 18.4116 2914
0 5 36 8.41117 0.0895033 2.14312 14.3099 4282
0 5 37 0 0 0 0 0
0 5 38 8.03408 0.0735349 0.874069 9.23747 2576
0 5 39 9.94236 0.0540249 0.972704 4.27535 2113
0 5 40 9.65014 0.109651 1.5406 18.3982 2871
0 5 41 9.19298 0.0708764 1.88492 13.6083 4791
0 5 42 10.7758 0.0768285 0.925172 4.79251 2367
0 5 43 11.5304 0.0477851 1.12725 6.65345 5736
0 5 44 10.6376 0.0735678 1.48544 10.447 3276
0 5 45 10.6154 0.0618932 1.48927 9.01452 5441
0 5 46 11.5849 0.0554309 1.18652 24.6531 8331
0 5 47 8.43006 0.0580816 0.596381 6.71589 2171
0 5 48 11.1362 0.0545018 0.881677 3.26181 3842
0 5 49 11.727 0.0579762 0.649071 10.6857 2554
0 5 50 11.6023 0.0715332 1.99157 8.50252 3912
0 5 51 13.8531 0.0927574 0.955216 12.4739 2188
0 5 52 11.4714 0.0595636 0.983072 12.5837 4885
0 5 53 7.27875 0.0890989 1.78628 4.85988 2664
0 5 54 10.9243 0.0600659 0.994923 1.54111 2767
0 5 55 10.8831 0.0619792 1.46016 6.02894 3297
0 5 56 11.1855 0.150566 1.75453 8.19283 1526
0 5 57 10.087 0.0926429 0.693716 4.02687 1366
0 5 58 10.2205 0.0990014 0.786264 13.6829 1626
0 5 59 11.6584 0.0372724 1.04421 5.05501 7296
0 5 60 7.37924 0.0919871 2.1466 7.00242 2887
0 5 61 9.03448 0.069457 0.961527 4.7174 3009
0 5 62 10.2719 0.0876118 2.79091 3.74941 5124
0 5 63 11.1795 0.0691911 0.636638 12.7628 1790
0 6 0 0 0 0 0 0
0 6 1 0 0 0 0 0
0 6 2 0 0 0 0 0
0 6 3 0 0 0 0 0
0 6 4 0 0 0 0 0
0 6 5 0 0 0 0 0
0 6 6 0 0 0 0 0
0 6 7 0 0 0 0 0
0 6 8 0 0 0 0 0
0 6 9 0 0 0 0 0
0 6 10 0 0 0 0 0
0 6 11 0 0 0 0 0
0 6 12 0 0 0 0 0
0 6 13 0 0 0 0 0
0 6 14 0 0 0 0 0
0 6 15 0 0 0 0 0
0 6 16 0 0 0 0 0
0 6 17 0 0 0 0 0
0 6 18 0 0 0 0 0
0 6 19 0 0 0 0 0
0 6 20 0 0 0 0 0
0 6 21 0 0 0 0 0
0 6 22 0 0 0 0 0
0 6 23 0 0 0 0 0
0 6 24 0 0 0 0 0
0 6 25 0 0 0 0 0
0 6 26 0 0 0 0 0
0 6 27 0 0 0 0 0
0 6 28 0 0 0 0 0
0 6 29 0 0 0 0 0
0 6 30 0 0 0 0 0
0 6 31 0 0 0 0 0
0 6 32 0 0 0 0 0
0 6 33 0 0 0 0 0
0 6 34 0 0 0 0 0
0 6 35 0 0 0 0 0
0 6 36 0 0 0 0 0
0 6 37 0 0 0 0 0
0 6 38 0 0 0 0 0
0 6 39 0 0 0 0 0
0 6 40 0 0 0 0 0
0 6 41 0 0 0 0 0
0 6 42 0 0 0 0 0
0 6 43 0 0 0 0 0
0 6 44 0 0 0 0 0
0 6 45 0 0 0 0 0
0 6 46 0 0 0 0 0
0 6 47 0 0 0 0 0
0 6 48 0 0 0 0 0
0 6 49 0 0 0 0 0
0 6 50 0 0 0 0 0
0 6 51 0 0 0 0 0
0 6 52 0 0 0 0 0
0 6 53 0 0 0 0 0
0 6 54 0 0 0 0 0
0 6 55 0 0 0 0 0
0 6 56 0 0 0 0 0
0 6 57 0 0 0 0 0
0 6 58 0 0 0 0 0
0 6 59 0 0 0 0 0
0 6 60 0 0 0 0 0
0 6 61 0 0 0 0 0
0 6 62 0 0 0 0 0
0 6 63 0 0 0 0 0
0 7 0 0 0 0 0 0
0 7 1 0 0 0 0 0
0 7 2 0 0 0 0 0
0 7 3 0 0 0 0 0
0 7 4 0 0 0 0 0
0 7 5 0 0 0 0 0
