### IJmapping 
## TYPE: fev10 FLIPX: 1 FLIPY: 1
#chip channel I J
0 0 31 24
0 1 31 25
0 2 31 26
0 3 30 29
0 4 29 27
0 5 30 27
0 6 31 27
0 7 30 31
0 8 30 26
0 9 31 29
0 10 31 30
0 11 29 26
0 12 30 28
0 13 29 30
0 14 30 24
0 15 29 29
0 16 31 31
0 17 29 25
0 18 29 28
0 19 29 31
0 20 28 27
0 21 31 28
0 22 30 30
0 23 28 26
0 24 30 25
0 25 28 31
0 26 29 24
0 27 28 29
0 28 28 30
0 29 28 25
0 30 28 28
0 31 27 31
0 32 27 30
0 33 27 29
0 34 28 24
0 35 26 31
0 36 27 28
0 37 27 26
0 38 25 31
0 39 24 28
0 40 27 27
0 41 26 30
0 42 26 27
0 43 27 25
0 44 25 30
0 45 26 29
0 46 27 24
0 47 24 31
0 48 26 28
0 49 26 26
0 50 25 29
0 51 24 25
0 52 26 25
0 53 24 30
0 54 25 28
0 55 25 25
0 56 24 27
0 57 24 26
0 58 25 27
0 59 26 24
0 60 24 29
0 61 24 24
0 62 25 24
0 63 25 26
1 0 24 23
1 1 24 22
1 2 24 21
1 3 25 18
1 4 26 20
1 5 25 20
1 6 24 20
1 7 25 16
1 8 25 21
1 9 24 18
1 10 24 17
1 11 26 21
1 12 25 19
1 13 26 17
1 14 25 23
1 15 26 18
1 16 24 16
1 17 26 22
1 18 26 19
1 19 26 16
1 20 27 20
1 21 24 19
1 22 25 17
1 23 27 21
1 24 25 22
1 25 27 16
1 26 26 23
1 27 27 18
1 28 27 17
1 29 27 22
1 30 27 19
1 31 28 16
1 32 28 17
1 33 28 18
1 34 27 23
1 35 29 16
1 36 28 19
1 37 28 21
1 38 30 16
1 39 31 19
1 40 28 20
1 41 29 17
1 42 29 20
1 43 28 22
1 44 30 17
1 45 29 18
1 46 28 23
1 47 31 16
1 48 29 19
1 49 29 21
1 50 30 18
1 51 31 22
1 52 29 22
1 53 31 17
1 54 30 19
1 55 30 22
1 56 31 20
1 57 31 21
1 58 30 20
1 59 29 23
1 60 31 18
1 61 31 23
1 62 30 23
1 63 30 21
2 0 23 24
2 1 23 25
2 2 23 26
2 3 22 29
2 4 21 27
2 5 22 27
2 6 23 27
2 7 22 31
2 8 22 26
2 9 23 29
2 10 23 30
2 11 21 26
2 12 22 28
2 13 21 30
2 14 22 24
2 15 21 29
2 16 23 31
2 17 21 25
2 18 21 28
2 19 21 31
2 20 20 27
2 21 23 28
2 22 22 30
2 23 20 26
2 24 22 25
2 25 20 31
2 26 21 24
2 27 20 29
2 28 20 30
2 29 20 25
2 30 20 28
2 31 19 31
2 32 19 30
2 33 19 29
2 34 20 24
2 35 18 31
2 36 19 28
2 37 19 26
2 38 17 31
2 39 16 28
2 40 19 27
2 41 18 30
2 42 18 27
2 43 19 25
2 44 17 30
2 45 18 29
2 46 19 24
2 47 16 31
2 48 18 28
2 49 18 26
2 50 17 29
2 51 16 25
2 52 18 25
2 53 16 30
2 54 17 28
2 55 17 25
2 56 16 27
2 57 16 26
2 58 17 27
2 59 18 24
2 60 16 29
2 61 16 24
2 62 17 24
2 63 17 26
3 0 16 23
3 1 16 22
3 2 16 21
3 3 17 18
3 4 18 20
3 5 17 20
3 6 16 20
3 7 17 16
3 8 17 21
3 9 16 18
3 10 16 17
3 11 18 21
3 12 17 19
3 13 18 17
3 14 17 23
3 15 18 18
3 16 16 16
3 17 18 22
3 18 18 19
3 19 18 16
3 20 19 20
3 21 16 19
3 22 17 17
3 23 19 21
3 24 17 22
3 25 19 16
3 26 18 23
3 27 19 18
3 28 19 17
3 29 19 22
3 30 19 19
3 31 20 16
3 32 20 17
3 33 20 18
3 34 19 23
3 35 21 16
3 36 20 19
3 37 20 21
3 38 22 16
3 39 23 19
3 40 20 20
3 41 21 17
3 42 21 20
3 43 20 22
3 44 22 17
3 45 21 18
3 46 20 23
3 47 23 16
3 48 21 19
3 49 21 21
3 50 22 18
3 51 23 22
3 52 21 22
3 53 23 17
3 54 22 19
3 55 22 22
3 56 23 20
3 57 23 21
3 58 22 20
3 59 21 23
3 60 23 18
3 61 23 23
3 62 22 23
3 63 22 21
4 0 15 24
4 1 15 25
4 2 15 26
4 3 14 29
4 4 13 27
4 5 14 27
4 6 15 27
4 7 14 31
4 8 14 26
4 9 15 29
4 10 15 30
4 11 13 26
4 12 14 28
4 13 13 30
4 14 14 24
4 15 13 29
4 16 15 31
4 17 13 25
4 18 13 28
4 19 13 31
4 20 12 27
4 21 15 28
4 22 14 30
4 23 12 26
4 24 14 25
4 25 12 31
4 26 13 24
4 27 12 29
4 28 12 30
4 29 12 25
4 30 12 28
4 31 11 31
4 32 11 30
4 33 11 29
4 34 12 24
4 35 10 31
4 36 11 28
4 37 11 26
4 38 9 31
4 39 8 28
4 40 11 27
4 41 10 30
4 42 10 27
4 43 11 25
4 44 9 30
4 45 10 29
4 46 11 24
4 47 8 31
4 48 10 28
4 49 10 26
4 50 9 29
4 51 8 25
4 52 10 25
4 53 8 30
4 54 9 28
4 55 9 25
4 56 8 27
4 57 8 26
4 58 9 27
4 59 10 24
4 60 8 29
4 61 8 24
4 62 9 24
4 63 9 26
5 0 8 23
5 1 8 22
5 2 8 21
5 3 9 18
5 4 10 20
5 5 9 20
5 6 8 20
5 7 9 16
5 8 9 21
5 9 8 18
5 10 8 17
5 11 10 21
5 12 9 19
5 13 10 17
5 14 9 23
5 15 10 18
5 16 8 16
5 17 10 22
5 18 10 19
5 19 10 16
5 20 11 20
5 21 8 19
5 22 9 17
5 23 11 21
5 24 9 22
5 25 11 16
5 26 10 23
5 27 11 18
5 28 11 17
5 29 11 22
5 30 11 19
5 31 12 16
5 32 12 17
5 33 12 18
5 34 11 23
5 35 13 16
5 36 12 19
5 37 12 21
5 38 14 16
5 39 15 19
5 40 12 20
5 41 13 17
5 42 13 20
5 43 12 22
5 44 14 17
5 45 13 18
5 46 12 23
5 47 15 16
5 48 13 19
5 49 13 21
5 50 14 18
5 51 15 22
5 52 13 22
5 53 15 17
5 54 14 19
5 55 14 22
5 56 15 20
5 57 15 21
5 58 14 20
5 59 13 23
5 60 15 18
5 61 15 23
5 62 14 23
5 63 14 21
6 0 7 24
6 1 7 25
6 2 7 26
6 3 6 29
6 4 5 27
6 5 6 27
6 6 7 27
6 7 6 31
6 8 6 26
6 9 7 29
6 10 7 30
6 11 5 26
6 12 6 28
6 13 5 30
6 14 6 24
6 15 5 29
6 16 7 31
6 17 5 25
6 18 5 28
6 19 5 31
6 20 4 27
6 21 7 28
6 22 6 30
6 23 4 26
6 24 6 25
6 25 4 31
6 26 5 24
6 27 4 29
6 28 4 30
6 29 4 25
6 30 4 28
6 31 3 31
6 32 3 30
6 33 3 29
6 34 4 24
6 35 2 31
6 36 3 28
6 37 3 26
6 38 1 31
6 39 0 28
6 40 3 27
6 41 2 30
6 42 2 27
6 43 3 25
6 44 1 30
