### IJmapping 
## TYPE: fev11_cob_rotate FLIPX: 1 FLIPY: 1
#chip channel I J
0 0 29 28
0 1 30 27
0 2 28 28
0 3 31 25
0 4 31 26
0 5 30 28
0 6 29 29
0 7 31 27
0 8 30 29
0 9 31 28
0 10 31 29
0 11 29 30
0 12 30 30
0 13 31 30
0 14 31 31
0 15 30 31
0 16 29 31
0 17 28 30
0 18 28 31
0 19 28 29
0 20 30 26
0 21 29 27
0 22 31 24
0 23 28 27
0 24 29 26
0 25 27 30
0 26 27 31
0 27 27 29
0 28 27 28
0 29 27 27
0 30 30 25
0 31 30 24
0 32 26 31
0 33 29 25
0 34 28 26
0 35 27 26
0 36 26 30
0 37 29 24
0 38 28 25
0 39 26 29
0 40 26 28
0 41 26 27
0 42 26 26
0 43 28 24
0 44 27 25
0 45 25 30
0 46 27 24
0 47 24 31
0 48 25 31
0 49 24 25
0 50 26 25
0 51 24 30
0 52 26 24
0 53 24 26
0 54 25 28
0 55 24 27
0 56 25 29
0 57 24 28
0 58 25 27
0 59 24 29
0 60 25 26
0 61 24 24
0 62 25 25
0 63 25 24
1 0 25 22
1 1 25 23
1 2 25 21
1 3 24 23
1 4 25 20
1 5 24 18
1 6 24 19
1 7 25 18
1 8 24 20
1 9 25 19
1 10 24 21
1 11 26 23
1 12 24 17
1 13 26 22
1 14 24 22
1 15 25 16
1 16 24 16
1 17 27 23
1 18 25 17
1 19 28 23
1 20 27 22
1 21 26 20
1 22 26 21
1 23 26 18
1 24 26 19
1 25 29 23
1 26 28 22
1 27 27 21
1 28 26 17
1 29 29 22
1 30 30 22
1 31 30 23
1 32 28 21
1 33 27 20
1 34 26 16
1 35 27 18
1 36 27 19
1 37 27 17
1 38 27 16
1 39 28 20
1 40 29 21
1 41 29 20
1 42 31 23
1 43 28 18
1 44 30 21
1 45 28 16
1 46 28 17
1 47 29 16
1 48 30 16
1 49 31 16
1 50 31 17
1 51 30 17
1 52 29 17
1 53 31 18
1 54 31 19
1 55 30 18
1 56 31 20
1 57 30 19
1 58 31 21
1 59 29 18
1 60 29 19
1 61 31 22
1 62 28 19
1 63 30 20
2 0 22 24
2 1 22 25
2 2 22 26
2 3 22 27
2 4 22 28
2 5 23 24
2 6 22 29
2 7 23 25
2 8 23 26
2 9 23 27
2 10 23 28
2 11 21 30
2 12 22 30
2 13 23 29
2 14 23 30
2 15 22 31
2 16 23 31
2 17 21 31
2 18 21 27
2 19 21 29
2 20 21 28
2 21 21 25
2 22 21 24
2 23 21 26
2 24 20 31
2 25 20 30
2 26 20 24
2 27 20 26
2 28 20 25
2 29 20 28
2 30 19 24
2 31 20 27
2 32 20 29
2 33 19 25
2 34 19 31
2 35 19 26
2 36 19 27
2 37 19 30
2 38 19 29
2 39 19 28
2 40 18 24
2 41 18 25
2 42 18 26
2 43 18 27
2 44 18 28
2 45 18 29
2 46 18 30
2 47 17 31
2 48 18 31
2 49 16 31
2 50 16 30
2 51 16 29
2 52 17 30
2 53 16 28
2 54 16 27
2 55 16 26
2 56 16 25
2 57 16 24
2 58 17 24
2 59 17 29
2 60 17 25
2 61 17 27
2 62 17 28
2 63 17 26
3 0 17 23
3 1 17 22
3 2 17 21
3 3 17 20
3 4 17 18
3 5 17 19
3 6 16 23
3 7 16 22
3 8 16 21
3 9 16 20
3 10 17 17
3 11 16 19
3 12 16 18
3 13 16 17
3 14 16 16
3 15 18 16
3 16 17 16
3 17 18 17
3 18 18 18
3 19 18 20
3 20 18 19
3 21 18 22
3 22 18 21
3 23 19 19
3 24 18 23
3 25 19 17
3 26 19 18
3 27 19 21
3 28 19 20
3 29 19 22
3 30 19 23
3 31 20 20
3 32 19 16
3 33 20 19
3 34 20 18
3 35 20 21
3 36 20 22
3 37 20 17
3 38 20 23
3 39 21 23
3 40 20 16
3 41 21 22
3 42 21 21
3 43 21 19
3 44 21 18
3 45 21 20
3 46 21 16
3 47 23 16
3 48 22 16
3 49 23 17
3 50 23 18
3 51 23 19
3 52 21 17
3 53 22 17
3 54 23 20
3 55 23 21
3 56 23 22
3 57 23 23
3 58 22 23
3 59 22 18
3 60 22 19
3 61 22 20
3 62 22 21
3 63 22 22
4 0 14 24
4 1 14 25
4 2 14 26
4 3 14 27
4 4 14 28
4 5 15 24
4 6 14 29
4 7 15 25
4 8 15 26
4 9 15 27
4 10 15 28
4 11 13 30
4 12 14 30
4 13 15 29
4 14 15 30
4 15 14 31
4 16 15 31
4 17 13 31
4 18 13 27
4 19 13 29
4 20 13 28
4 21 13 25
4 22 13 24
4 23 13 26
4 24 12 31
4 25 12 30
4 26 12 24
4 27 12 26
4 28 12 25
4 29 12 28
4 30 11 24
4 31 12 27
4 32 12 29
4 33 11 25
4 34 11 31
4 35 11 26
4 36 11 27
4 37 11 30
4 38 11 29
4 39 11 28
4 40 10 24
4 41 10 25
4 42 10 26
4 43 10 27
4 44 10 28
4 45 10 29
4 46 10 30
4 47 9 31
4 48 10 31
4 49 8 31
4 50 8 30
4 51 8 29
4 52 9 30
4 53 8 28
4 54 8 27
4 55 8 26
4 56 8 25
4 57 8 24
4 58 9 24
4 59 9 29
4 60 9 25
4 61 9 27
4 62 9 28
4 63 9 26
5 0 9 23
5 1 9 22
5 2 9 21
5 3 9 20
5 4 9 18
5 5 9 19
5 6 8 23
5 7 8 22
5 8 8 21
5 9 8 20
5 10 9 17
5 11 8 19
5 12 8 18
5 13 8 17
5 14 8 16
5 15 10 16
5 16 9 16
5 17 10 17
5 18 10 18
5 19 10 20
5 20 10 19
5 21 10 22
5 22 10 21
5 23 11 19
5 24 10 23
5 25 11 17
5 26 11 18
5 27 11 21
5 28 11 20
5 29 11 22
5 30 11 23
5 31 12 20
5 32 11 16
5 33 12 19
5 34 12 18
5 35 12 21
5 36 12 22
5 37 12 17
5 38 12 23
5 39 13 23
5 40 12 16
5 41 13 22
5 42 13 21
5 43 13 19
5 44 13 18
5 45 13 20
5 46 13 16
5 47 15 16
5 48 14 16
5 49 15 17
5 50 15 18
5 51 15 19
5 52 13 17
5 53 14 17
5 54 15 20
5 55 15 21
5 56 15 22
5 57 15 23
5 58 14 23
5 59 14 18
5 60 14 19
5 61 14 20
5 62 14 21
5 63 14 22
6 0 6 26
6 1 6 25
6 2 6 27
6 3 6 28
6 4 6 29
6 5 6 24
6 6 7 29
6 7 5 24
6 8 7 28
6 9 5 25
6 10 7 30
6 11 6 30
6 12 7 27
6 13 7 26
6 14 7 25
6 15 7 24
6 16 7 31
6 17 6 31
6 18 4 24
6 19 5 26
6 20 4 25
6 21 5 27
6 22 5 28
6 23 5 29
6 24 3 24
6 25 5 30
6 26 5 31
6 27 4 26
6 28 2 24
6 29 3 25
6 30 2 25
6 31 4 27
6 32 4 31
6 33 3 26
6 34 4 28
6 35 4 29
6 36 2 26
6 37 4 30
6 38 3 27
6 39 1 24
6 40 0 31
6 41 3 28
6 42 0 24
6 43 3 29
6 44 1 31
6 45 3 31
6 46 3 30
6 47 0 30
6 48 2 31
6 49 0 29
6 50 1 30
6 51 0 28
6 52 2 30
6 53 1 29
6 54 0 27
6 55 0 26
6 56 1 28
6 57 0 25
6 58 2 29
6 59 1 27
6 60 2 28
6 61 1 26
6 62 1 25
6 63 2 27
7 0 1 22
7 1 2 20
7 2 1 21
7 3 0 22
7 4 1 20
7 5 2 18
7 6 2 19
7 7 1 19
7 8 0 21
7 9 0 20
7 10 2 17
7 11 1 18
7 12 0 19
7 13 1 17
7 14 0 18
7 15 2 16
7 16 0 17
7 17 3 17
7 18 3 16
7 19 3 18
7 20 1 16
7 21 3 19
7 22 0 23
7 23 1 23
7 24 0 16
7 25 4 17
7 26 3 20
7 27 4 18
7 28 2 21
7 29 3 21
7 30 2 22
7 31 4 20
7 32 4 19
7 33 3 22
7 34 4 16
7 35 4 21
7 36 2 23
7 37 5 17
7 38 5 16
7 39 5 18
7 40 3 23
7 41 5 20
7 42 5 19
7 43 5 21
7 44 4 22
7 45 4 23
7 46 6 16
7 47 7 16
7 48 7 23
7 49 7 22
7 50 7 21
7 51 7 20
7 52 6 17
7 53 7 17
7 54 5 22
7 55 7 19
7 56 5 23
7 57 7 18
7 58 6 18
7 59 6 23
7 60 6 19
7 61 6 20
7 62 6 21
7 63 6 22
8 0 30 9
8 1 29 11
8 2 30 10
8 3 31 9
8 4 30 11
8 5 29 13
8 6 29 12
8 7 30 12
8 8 31 10
8 9 31 11
8 10 29 14
8 11 30 13
8 12 31 12
8 13 30 14
8 14 31 13
8 15 29 15
8 16 31 14
8 17 28 14
8 18 28 15
8 19 28 13
8 20 30 15
8 21 28 12
8 22 31 8
8 23 30 8
8 24 31 15
8 25 27 14
8 26 28 11
8 27 27 13
8 28 29 10
8 29 28 10
8 30 29 9
8 31 27 11
8 32 27 12
8 33 28 9
8 34 27 15
8 35 27 10
8 36 29 8
8 37 26 14
8 38 26 15
8 39 26 13
8 40 28 8
8 41 26 11
8 42 26 12
8 43 26 10
8 44 27 9
8 45 27 8
8 46 25 15
8 47 24 15
8 48 24 8
8 49 24 9
8 50 24 10
8 51 24 11
8 52 25 14
8 53 24 14
8 54 26 9
8 55 24 12
8 56 26 8
8 57 24 13
8 58 25 13
8 59 25 8
8 60 25 12
8 61 25 11
8 62 25 10
8 63 25 9
9 0 25 5
9 1 25 6
9 2 25 4
9 3 25 3
9 4 25 2
9 5 25 7
9 6 24 2
9 7 26 7
9 8 24 3
9 9 26 6
9 10 24 1
9 11 25 1
9 12 24 4
9 13 24 5
9 14 24 6
9 15 24 7
9 16 24 0
9 17 25 0
9 18 27 7
9 19 26 5
9 20 27 6
9 21 26 4
9 22 26 3
9 23 26 2
9 24 28 7
9 25 26 1
9 26 26 0
9 27 27 5
9 28 29 7
9 29 28 6
9 30 29 6
9 31 27 4
9 32 27 0
9 33 28 5
9 34 27 3
9 35 27 2
9 36 29 5
9 37 27 1
9 38 28 4
9 39 30 7
9 40 31 0
9 41 28 3
9 42 31 7
9 43 28 2
9 44 30 0
9 45 28 0
9 46 28 1
9 47 31 1
9 48 29 0
9 49 31 2
9 50 30 1
9 51 31 3
9 52 29 1
9 53 30 2
9 54 31 4
9 55 31 5
9 56 30 3
9 57 31 6
9 58 29 2
9 59 30 4
9 60 29 3
9 61 30 5
9 62 30 6
9 63 29 4
10 0 22 8
10 1 22 9
10 2 22 10
10 3 22 11
10 4 22 13
10 5 22 12
10 6 23 8
10 7 23 9
10 8 23 10
10 9 23 11
10 10 22 14
10 11 23 12
10 12 23 13
10 13 23 14
10 14 23 15
10 15 21 15
10 16 22 15
10 17 21 14
10 18 21 13
10 19 21 11
10 20 21 12
10 21 21 9
10 22 21 10
10 23 20 12
10 24 21 8
10 25 20 14
10 26 20 13
10 27 20 10
10 28 20 11
10 29 20 9
10 30 20 8
10 31 19 11
10 32 20 15
10 33 19 12
10 34 19 13
10 35 19 10
10 36 19 9
10 37 19 14
10 38 19 8
10 39 18 8
10 40 19 15
10 41 18 9
10 42 18 10
10 43 18 12
10 44 18 13
10 45 18 11
10 46 18 15
10 47 16 15
10 48 17 15
10 49 16 14
10 50 16 13
10 51 16 12
10 52 18 14
10 53 17 14
10 54 16 11
10 55 16 10
10 56 16 9
10 57 16 8
10 58 17 8
10 59 17 13
10 60 17 12
10 61 17 11
10 62 17 10
10 63 17 9
11 0 17 7
11 1 17 6
11 2 17 5
11 3 17 4
11 4 17 3
11 5 16 7
11 6 17 2
11 7 16 6
11 8 16 5
11 9 16 4
11 10 16 3
11 11 18 1
11 12 17 1
11 13 16 2
11 14 16 1
11 15 17 0
11 16 16 0
11 17 18 0
11 18 18 4
11 19 18 2
11 20 18 3
11 21 18 6
11 22 18 7
11 23 18 5
11 24 19 0
11 25 19 1
11 26 19 7
11 27 19 5
11 28 19 6
11 29 19 3
11 30 20 7
11 31 19 4
11 32 19 2
11 33 20 6
11 34 20 0
11 35 20 5
11 36 20 4
11 37 20 1
11 38 20 2
11 39 20 3
11 40 21 7
11 41 21 6
11 42 21 5
11 43 21 4
11 44 21 3
11 45 21 2
11 46 21 1
11 47 22 0
11 48 21 0
11 49 23 0
11 50 23 1
11 51 23 2
11 52 22 1
11 53 23 3
11 54 23 4
11 55 23 5
11 56 23 6
11 57 23 7
11 58 22 7
11 59 22 2
11 60 22 6
11 61 22 4
11 62 22 3
11 63 22 5
12 0 14 8
12 1 14 9
12 2 14 10
12 3 14 11
12 4 14 13
12 5 14 12
12 6 15 8
12 7 15 9
12 8 15 10
12 9 15 11
12 10 14 14
12 11 15 12
12 12 15 13
12 13 15 14
12 14 15 15
12 15 13 15
12 16 14 15
12 17 13 14
12 18 13 13
12 19 13 11
12 20 13 12
12 21 13 9
12 22 13 10
12 23 12 12
12 24 13 8
12 25 12 14
12 26 12 13
12 27 12 10
12 28 12 11
12 29 12 9
12 30 12 8
12 31 11 11
12 32 12 15
12 33 11 12
12 34 11 13
12 35 11 10
12 36 11 9
12 37 11 14
12 38 11 8
12 39 10 8
12 40 11 15
12 41 10 9
12 42 10 10
12 43 10 12
12 44 10 13
12 45 10 11
12 46 10 15
12 47 8 15
12 48 9 15
12 49 8 14
12 50 8 13
12 51 8 12
12 52 10 14
12 53 9 14
12 54 8 11
12 55 8 10
12 56 8 9
12 57 8 8
12 58 9 8
12 59 9 13
12 60 9 12
12 61 9 11
12 62 9 10
12 63 9 9
13 0 9 7
13 1 9 6
13 2 9 5
13 3 9 4
13 4 9 3
13 5 8 7
13 6 9 2
13 7 8 6
13 8 8 5
13 9 8 4
13 10 8 3
13 11 10 1
13 12 9 1
13 13 8 2
13 14 8 1
13 15 9 0
13 16 8 0
13 17 10 0
13 18 10 4
13 19 10 2
13 20 10 3
13 21 10 6
13 22 10 7
13 23 10 5
13 24 11 0
13 25 11 1
13 26 11 7
13 27 11 5
13 28 11 6
13 29 11 3
13 30 12 7
13 31 11 4
13 32 11 2
13 33 12 6
13 34 12 0
13 35 12 5
13 36 12 4
13 37 12 1
