#slot layer slab slbID slbAdd ASU wafer Gliss W X0 X0Acc
14 0 16 9 14 FEV11-SK2 320g 2.1mm 2.1 0.6 0.6
13 1 13 10 13 FEV11-SK2 320 2.1mm 2.1 0.6 1.2
12 2 14 5 12 FEV11-SK2 320 2.1mm 2.1 0.6 1.8
11 3 15 1 11 FEV10-SK2 320 2.1mm 2.1 0.6 2.4
10 4 19 13 10 FEV11-SK2 320 2.1mm 2.1 0.6 3
9 5 20 11 9 FEV11-SK2 320 2.1mm 2.1 0.6 3.6
8 6 21 14 8 FEV11-SK2 320 2.1mm 2.1 0.6 4.2
7 7 30 19 7 FEV12-SK2a 500 2.1mm 2.1 0.6 4.2
6 8 31 17 6 FEV12-SK2a 500 2.1mm 2.1 0.6 4.8
5 9 24 7 5 FEV12-SK2a 500 2.1mm 2.1 0.6 5.4
4 10 25 3 4 FEV12-SK2a 500 2.1mm 2.1 0.6 6
3 11 22 4 3 FEV11-SK2 320 2.1mm 2.1 0.6 6.6
2 12 17 0 2 FEV11-SK2 320g 4.2mm 4.2 1.2 7.8
1 13 23 6 1 FEV10-SK2 320 4.2mm 4.2 1.2 9
0 14 18 2 0 FEV11-SK2 320 4.2mm 4.2 1.2 10.2
