#mip results PROTO15-TB2021-11
#layer chip channel mpv empv widthmpv chi2ndf nentries
0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0
0 0 2 0 0 0 0 0
0 0 3 25.5351 1.21198 4.72034 1.92427 109
0 0 4 27.1292 0.516153 2.13562 2.25359 45
0 0 5 0 0 0 0 0
0 0 6 0 0 0 0 0
0 0 7 0 0 0 0 0
0 0 8 0 0 0 0 0
0 0 9 0 0 0 0 0
0 0 10 0 0 0 0 0
0 0 11 0 0 0 0 0
0 0 12 0 0 0 0 0
0 0 13 23.3384 0.239927 2.65123 1.08079 311
0 0 14 0 0 0 0 0
0 0 15 24.8289 0.270133 2.30131 0.960229 222
0 0 16 0 0 0 0 0
0 0 17 0 0 0 0 0
0 0 18 0 0 0 0 0
0 0 19 0 0 0 0 0
0 0 20 0 0 0 0 0
0 0 21 0 0 0 0 0
0 0 22 20.0428 124.944 6.68993 1.0251 89
0 0 23 24.4379 0.250609 0.921069 0 29
0 0 24 0 0 0 0 0
0 0 25 0 0 0 0 0
0 0 26 0 0 0 0 0
0 0 27 26.4135 0.537393 4.21694 1.61802 174
0 0 28 22.4542 0.587381 2.49917 1.126 224
0 0 29 0 0 0 0 0
0 0 30 0 0 0 0 0
0 0 31 0 0 0 0 0
0 0 32 23.8127 0.190234 3.23178 1.68955 283
0 0 33 24.9557 0.409583 4.07317 1.11272 191
0 0 34 0 0 0 0 0
0 0 35 27.4094 0.667464 3.08227 0.863352 90
0 0 36 29.0897 1.66452 4.14703 0.856307 55
0 0 37 0 0 0 0 0
0 0 38 27.1282 2.04119 1.46373 0.929947 104
0 0 39 25.8745 0.662085 3.61859 1.47117 87
0 0 40 27.5256 2.3531 5.76998 0.795858 63
0 0 41 24.0857 0.271184 4.31305 0.666501 305
0 0 42 26.3171 0.456356 3.72987 0.684928 108
0 0 43 15 149.016 10 1.23101 64
0 0 44 27.6521 0.673802 4.17419 0.641412 222
0 0 45 24.8744 0.285405 3.54551 1.3172 216
0 0 46 0 0 0 0 0
0 0 47 26.936 1.13822 4.29917 1.87682 82
0 0 48 23.8525 4.63408 0.887786 1.45859 101
0 0 49 0 0 0 0 0
0 0 50 26.308 0.715299 0.74726 1.79873 204
0 0 51 24.1849 0.331026 3.94559 0.934148 168
0 0 52 24.5174 0.433123 3.81696 1.16387 115
0 0 53 27.4024 0.722225 0.618946 0.44855 121
0 0 54 24.5328 0.97044 3.38297 2.74854 60
0 0 55 26.8072 0.457554 3.53713 0.773712 103
0 0 56 26.0089 1.01417 2.89306 1.93288 100
0 0 57 23.3894 0.707479 3.65986 0.957094 135
0 0 58 26.493 1.49876 4.32764 1.31861 59
0 0 59 26.5405 0.863436 2.29965 0.42691 94
0 0 60 23.856 3.1096 4.75204 1.12357 63
0 0 61 23.8547 0.122927 1.95116 1.27217 207
0 0 62 23.1187 0.280337 3.45273 0.982453 168
0 0 63 24.6549 2.21177 0.977289 0.848934 113
0 1 0 24.3709 0.0845424 2.0913 0.570567 343
0 1 1 45.4347 0.143776 3.17318 1.67326 502
0 1 2 20.917 0.252431 2.92399 0.690254 186
0 1 3 24.0414 1.601 0.95199 0.672644 79
0 1 4 23.9187 0.484725 3.81952 1.21089 110
0 1 5 24.5909 1.48692 5.02678 2.01211 78
0 1 6 22.9315 0.461502 3.59704 0.401629 132
0 1 7 25.1137 0.377374 2.58363 0.453694 71
0 1 8 24.2064 0.408195 3.72511 1.19744 144
0 1 9 0 0 0 0 0
0 1 10 24.0524 0.387365 3.37484 0.418704 102
0 1 11 22.1934 0.465326 3.74338 0.932697 123
0 1 12 24.619 0.31554 2.58018 0.859148 97
0 1 13 0 0 0 0 0
0 1 14 22.1858 0.474811 3.1983 1.40062 258
0 1 15 23.8006 0.777835 2.50147 0.298787 47
0 1 16 23.5523 0.390969 3.08327 0.421646 116
0 1 17 25.6456 0.34302 3.48417 0.551292 159
0 1 18 0 0 0 0 0
0 1 19 25.985 0.553408 2.71266 1.04647 66
0 1 20 0 0 0 0 0
0 1 21 23.0939 0.322246 3.37548 0.861675 134
0 1 22 25.9015 1.12914 3.59102 1.45356 81
0 1 23 23.1811 1.17437 3.00536 2.20119 81
0 1 24 23.3328 0.222566 3.87882 1.18687 282
0 1 25 25.2965 0.547176 0.5 2.72348 40
0 1 26 25.5096 0.399945 3.85104 1.09562 178
0 1 27 0 0 0 0 0
0 1 28 0 0 0 0 0
0 1 29 15.0001 138.943 10 1.0438 50
0 1 30 0 0 0 0 0
0 1 31 0 0 0 0 0
0 1 32 0 0 0 0 0
0 1 33 0 0 0 0 0
0 1 34 23.9246 1.02445 3.38336 0.703009 63
0 1 35 0 0 0 0 0
0 1 36 0 0 0 0 0
0 1 37 0 0 0 0 0
0 1 38 0 0 0 0 0
0 1 39 0 0 0 0 0
0 1 40 0 0 0 0 0
0 1 41 0 0 0 0 0
0 1 42 0 0 0 0 0
0 1 43 0 0 0 0 0
0 1 44 0 0 0 0 0
0 1 45 0 0 0 0 0
0 1 46 0 0 0 0 0
0 1 47 0 0 0 0 0
0 1 48 0 0 0 0 0
0 1 49 0 0 0 0 0
0 1 50 0 0 0 0 0
0 1 51 0 0 0 0 0
0 1 52 0 0 0 0 0
0 1 53 22.7931 2.10367 0.840521 0 39
0 1 54 0 0 0 0 0
0 1 55 0 0 0 0 0
0 1 56 0 0 0 0 0
0 1 57 0 0 0 0 0
0 1 58 0 0 0 0 0
0 1 59 0 0 0 0 0
0 1 60 0 0 0 0 0
0 1 61 0 0 0 0 0
0 1 62 0 0 0 0 0
0 1 63 0 0 0 0 0
0 2 0 52.495 0.197722 3.50298 1.03764 622
0 2 1 39.4415 0.629593 5.73419 1.43937 271
0 2 2 37.3548 0.606392 4.78307 0.439427 306
0 2 3 0 0 0 0 0
0 2 4 37.1522 1.45249 7.08192 0.707646 254
0 2 5 37.0085 1.17256 5.55838 0.593396 183
0 2 6 35.8473 1.59324 4.11778 1.82705 261
0 2 7 0 0 0 0 0
0 2 8 43.5396 0.129222 3.41528 1.38156 838
0 2 9 0 0 0 0 0
0 2 10 0 0 0 0 0
0 2 11 43.4315 0.140908 3.6708 1.50913 766
0 2 12 40.0068 2.89109 7.83022 1.22761 100
0 2 13 40.3428 1.04253 4.85261 1.30682 101
0 2 14 37.4006 0.391278 5.09995 1.185 371
0 2 15 39.3347 0.727755 4.96348 0.701752 145
0 2 16 0 0 0 0 0
0 2 17 45.4124 0.172761 3.824 0.751376 668
0 2 18 37.7217 0.889653 3.56143 0.876964 117
0 2 19 0 0 0 0 0
0 2 20 39.754 0.814868 6.19144 0.487221 309
0 2 21 0 0 0 0 0
0 2 22 40.1758 0.835578 3.49355 0.682039 81
0 2 23 51.6151 0.159788 4.57169 0.494955 975
0 2 24 37.3736 0.396598 5.33652 1.89733 414
0 2 25 0 0 0 0 0
0 2 26 52.6352 0.216527 3.95435 0.3186 697
0 2 27 40.6981 1.53694 6.22048 0.892384 147
0 2 28 25.1184 9.70688 10 2.44007 138
0 2 29 52.5714 0.209385 3.82333 0.742301 861
0 2 30 27.9018 13.2301 10 1.81585 111
0 2 31 0 0 0 0 0
0 2 32 37.2792 0.628339 6.01565 1.76716 208
0 2 33 38.2979 2.62887 5.08652 1.54307 161
0 2 34 51.3462 0.16868 3.92959 0.634556 816
0 2 35 39.2986 0.654818 5.01977 1.08115 179
0 2 36 39.0748 1.16371 2.91608 1.03172 123
0 2 37 0 0 0 0 0
0 2 38 39.4654 0.390111 4.94475 1.95456 339
0 2 39 15.0002 191.902 5.85053 1.29033 73
0 2 40 37.6341 2.34502 6.20364 0.38321 266
0 2 41 38.1562 0.786505 5.57243 1.48656 184
0 2 42 37.1274 1.72771 5.70503 0.705521 209
0 2 43 51.0393 0.199338 2.79307 1.04948 970
0 2 44 38.6321 0.781126 6.03455 1.14648 225
0 2 45 40.9205 164.94 6.26528 1.55817 118
0 2 46 44.61 0.128323 3.69471 0.866841 892
0 2 47 35.9742 0.34163 4.00844 1.14444 308
0 2 48 35.673 3.07024 3.01828 0.338578 124
0 2 49 34.5708 0.820316 4.32495 0.371619 385
0 2 50 35.5261 2.61516 4.72897 1.03828 94
0 2 51 35.4455 0.706501 3.79059 2.97367 166
0 2 52 51.5803 0.168607 4.03775 0.956991 908
0 2 53 37.8058 1.0222 6.14308 1.34659 170
0 2 54 37.1792 1.9415 4.71451 1.13533 78
0 2 55 37.3892 0.780674 4.84686 1.13691 195
0 2 56 36.5619 1.16957 3.58957 2.0948 92
0 2 57 38.1686 0.990347 4.61675 1.21416 109
0 2 58 36.2588 0.674005 0.5 1.96741 143
0 2 59 45.6162 0.146516 3.39696 0.448916 853
0 2 60 39.1562 1.91153 5.99427 1.49832 92
0 2 61 39.5311 0.614241 5.97992 1.90774 229
0 2 62 33.8907 0.19925 3.61543 2.98137 471
0 2 63 50.691 0.191088 3.96397 1.17673 830
0 3 0 50.9581 0.30378 3.94761 0.986828 829
0 3 1 31.0699 0.237983 2.73906 1.01693 527
0 3 2 47.2203 0.258021 3.60941 0.559865 614
0 3 3 32.5793 0.647563 5.00401 1.14338 369
0 3 4 46.1717 0.140525 3.51991 0.401458 1252
0 3 5 45.5119 0.206215 3.63985 0.802441 967
0 3 6 52.3441 0.271823 3.95887 0.874181 726
0 3 7 38.4883 1.61687 0.640753 1.83995 116
0 3 8 49.9484 0.279554 2.88126 0.661837 845
0 3 9 33.4085 1.02489 5.95397 1.04428 257
0 3 10 33.4108 1.49331 3.17245 1.58312 139
0 3 11 48.8373 0.184006 3.15912 1.08473 1029
0 3 12 53.2662 0.240138 4.59196 0.997016 1084
0 3 13 33.0937 0.325281 4.30576 0.817379 427
0 3 14 46.8296 0.246442 2.99637 0.980574 1013
0 3 15 32.4161 0.194064 3.79266 1.04359 746
0 3 16 35.6022 0.989594 5.19912 1.11057 146
0 3 17 50.6554 0.17375 4.17189 0.599377 1307
0 3 18 51.9944 0.167996 4.39961 0.636234 1347
0 3 19 33.4151 1.03186 4.56372 0.744941 260
0 3 20 45.777 0.153376 3.04324 0.717981 1299
0 3 21 45.0646 0.231565 3.42179 0.958784 698
0 3 22 35.3572 0.733624 4.46218 0.766689 174
0 3 23 45.4805 0.158872 3.41873 0.75576 1035
0 3 24 37.1452 0.179372 2.71004 0.724109 852
0 3 25 33.641 0.59608 5.22493 0.766977 380
0 3 26 52.0017 0.146675 3.55278 1.01615 1408
0 3 27 52.5184 0.155379 3.48575 0.542011 1251
0 3 28 54.7192 0.214371 3.67822 1.37262 965
0 3 29 51.052 0.149669 3.99621 0.734904 1542
0 3 30 53.4013 0.150344 3.94483 0.797684 1472
0 3 31 33.0703 0.501014 4.59289 0.579512 252
0 3 32 32.6503 0.337357 4.3017 1.01246 408
0 3 33 44.6408 0.166003 3.60026 0.445915 989
0 3 34 52.0336 0.150791 3.48749 0.681941 1603
0 3 35 33.7426 1.01655 4.42794 0.805685 254
0 3 36 52.1918 0.199045 3.94376 1.33336 1254
0 3 37 0 0 0 0 0
0 3 38 33.0101 0.426157 4.96162 1.48481 376
0 3 39 35.1862 1.5105 5.81469 1.03547 342
0 3 40 45.4076 0.94723 1.1424 0.521427 1129
0 3 41 31.1868 0.429377 3.42515 1.42493 358
0 3 42 45.0295 0.203189 3.03481 0.786408 938
0 3 43 47.7478 0.178874 3.12459 0.790778 1154
0 3 44 54.8674 0.470478 2.281 1.45647 717
0 3 45 48.0206 0.202503 3.17882 0.707573 907
0 3 46 44.3758 0.144351 3.40462 0.463859 1186
0 3 47 32.3204 0.388687 3.93944 0.845924 334
0 3 48 40.6115 0.152313 2.9622 0.469112 912
0 3 49 45.4667 0.237473 3.05886 0.571255 843
0 3 50 43.581 0.169179 3.24858 1.96466 798
0 3 51 44.2142 0.204001 3.79018 1.06463 969
0 3 52 46.055 0.174888 2.95954 1.59722 932
0 3 53 33.0077 0.427788 4.54587 1.39351 330
0 3 54 29.1888 0.302186 4.16209 1.11445 556
0 3 55 46.8433 0.197546 2.80681 0.616357 1030
0 3 56 34.8801 0.893641 6.965 1.37103 340
0 3 57 33.2501 0.737941 4.12118 1.20795 298
0 3 58 49.9635 0.212768 4.41129 0.930486 1089
0 3 59 43.7886 0.15605 3.26379 0.733438 979
0 3 60 31.1843 0.367214 4.61504 1.59348 441
0 3 61 44.4791 0.213922 2.64632 0.541264 986
0 3 62 43.7312 0.152859 3.83922 1.35471 1022
0 3 63 33.7767 0.574703 5.27142 1.04148 381
0 4 0 0 0 0 0 0
0 4 1 0 0 0 0 0
0 4 2 0 0 0 0 0
0 4 3 0 0 0 0 0
0 4 4 29.1183 2.48478 3.24313 1.47098 152
0 4 5 0 0 0 0 0
0 4 6 0 0 0 0 0
0 4 7 34.8004 0.698457 0.518222 0.966117 112
0 4 8 0 0 0 0 0
0 4 9 0 0 0 0 0
0 4 10 0 0 0 0 0
0 4 11 32.5095 2.36597 4.33107 0.436589 166
0 4 12 0 0 0 0 0
0 4 13 35.7488 1.40856 6.45183 0.952429 141
0 4 14 0 0 0 0 0
0 4 15 33.1103 0.934804 2.44255 0.304265 84
0 4 16 0 0 0 0 0
0 4 17 32.984 2.82697 8.26953 1.41055 160
0 4 18 34.3773 0.787435 0.5 1.60765 108
0 4 19 36.2024 1.7435 1.34201 1.1268 109
0 4 20 34.5575 1.16259 4.32996 2.7154 320
0 4 21 0 0 0 0 0
0 4 22 0 0 0 0 0
0 4 23 34.2979 0.28164 4.35918 1.18405 453
0 4 24 0 0 0 0 0
0 4 25 33.2069 1.35768 3.47532 1.27081 114
0 4 26 32.1551 1.03756 1.91249 1.03758 190
0 4 27 33.8477 0.438905 4.37114 0.99164 236
0 4 28 34.9305 0.578862 4.76591 0.388343 206
0 4 29 33.1787 0.331209 4.65063 1.70407 441
0 4 30 34.0581 0.908096 0.67621 1.79164 188
0 4 31 33.8782 0.901723 4.14757 0.803455 121
0 4 32 35.0894 0.513233 4.71201 0.745512 238
0 4 33 33.1465 0.385501 4.19558 2.34386 284
0 4 34 34.2788 0.274048 4.53965 0.711239 417
0 4 35 36.0033 0.932418 3.91137 1.74537 125
0 4 36 36.9887 0.645425 5.56688 1.3958 267
0 4 37 0 0 0 0 0
0 4 38 35.4899 0.749186 4.55159 1.28745 181
0 4 39 43.2686 0.184642 2.87622 0.533366 715
0 4 40 30.9241 0.286496 4.70737 1.06789 548
0 4 41 33.6564 0.337899 3.09827 1.23237 272
0 4 42 50.3517 0.156954 3.46683 1.02166 934
0 4 43 36.8408 0.153435 2.33619 0.79157 743
0 4 44 34.5767 0.588585 4.63016 0.810109 400
0 4 45 30.8529 0.171567 2.67478 1.94424 422
0 4 46 42.106 0.128955 3.25966 0.369681 682
0 4 47 0 0 0 0 0
0 4 48 35.6791 2.87735 10 2.34758 631
0 4 49 48.4705 0.142828 3.57013 1.34569 902
0 4 50 50.3007 0.185409 3.24388 0.333634 821
0 4 51 43.1727 0.153171 3.0761 1.13377 761
0 4 52 43.9674 0.186335 2.66015 1.54158 722
0 4 53 48.3283 0.155732 3.74896 1.06826 928
0 4 54 43.3228 0.18194 3.49952 0.964028 661
0 4 55 44.278 0.192177 3.98261 0.560095 763
0 4 56 43.7683 0.171506 2.85261 1.43003 992
0 4 57 43.0046 0.143803 2.87317 0.735015 982
0 4 58 44.2539 0.170005 2.81781 0.774283 939
0 4 59 47.4647 0.229967 2.73528 1.8809 674
0 4 60 42.9455 0.175694 2.5717 0.677318 790
0 4 61 41.3683 0.235187 2.27539 0.661155 620
0 4 62 43.2482 0.215135 4.46049 0.954118 633
0 4 63 43.4682 0.147273 2.894 1.09184 966
0 5 0 49.3973 0.156931 3.35198 0.696528 970
0 5 1 48.8731 0.161357 3.48363 0.544676 936
0 5 2 49.0945 0.209368 3.90485 0.877531 765
0 5 3 52.4259 0.229735 4.17336 1.18143 832
0 5 4 56.1805 0.182442 3.76478 1.25959 940
0 5 5 55.7879 0.212406 4.28053 1.63536 941
0 5 6 53.9067 0.457127 2.58038 0.833902 1010
0 5 7 46.2485 1.7631 6.38958 0.572132 84
0 5 8 49.5471 0.201398 3.50349 1.09976 714
0 5 9 44.8836 0.201315 3.99382 0.684322 761
0 5 10 45.2707 1.02676 5.95579 0.954309 170
0 5 11 55.1126 0.210227 3.51843 0.979263 753
0 5 12 55.0967 0.212494 4.22457 1.13742 1022
0 5 13 55.6187 0.26974 4.17506 1.09245 627
0 5 14 49.6608 0.183311 3.00198 0.539583 941
0 5 15 39.9462 0.394734 5.10272 1.4905 438
0 5 16 41.733 0.905965 3.97451 0.793043 85
0 5 17 47.9388 0.163462 3.41364 0.493798 803
0 5 18 54.392 0.342567 3.25637 0.741595 944
0 5 19 42.9403 0.878859 3.84034 0.69198 115
0 5 20 49.2604 0.289343 5.77251 1.482 996
0 5 21 53.5589 0.613631 2.69044 0.654675 677
0 5 22 43.5954 1.47084 7.52848 1.09964 170
0 5 23 42.3777 0.701206 4.45757 0.702111 317
0 5 24 49.688 0.181835 4.23989 0.406901 902
0 5 25 15 185.686 7.21099 0.741669 104
0 5 26 56.0184 0.217933 3.9768 0.739963 961
0 5 27 42.5716 0.465064 5.54481 0.652718 401
0 5 28 32.608 11.4085 6.95599 0.741644 180
0 5 29 56.9351 0.203653 4.57915 0.747983 1032
0 5 30 53.3212 0.171225 4.39879 0.845618 1069
0 5 31 42.2961 1.32492 3.99716 0.314 135
0 5 32 46.6224 0.82902 4.198 1.62786 165
0 5 33 43.2672 1.01374 5.5391 1.10048 299
0 5 34 46.628 0.134084 3.08918 1.45857 967
0 5 35 0 0 0 0 0
0 5 36 42.9995 0.598713 5.67356 0.636419 353
0 5 37 0 0 0 0 0
0 5 38 0 0 0 0 0
0 5 39 0 0 0 0 0
0 5 40 42.5088 0.704706 6.32719 1.3365 364
0 5 41 15 17.6399 3.84172 1.0888 146
0 5 42 42.4755 2.9553 2.06252 0.927941 96
0 5 43 41.3796 0.619932 6.86156 0.625394 516
0 5 44 0 0 0 0 0
0 5 45 39.9602 8.47199 7.93916 2.5948 107
0 5 46 42.806 1.33379 6.10643 0.582002 496
0 5 47 0 0 0 0 0
0 5 48 41.3151 2.77191 5.88301 0.717018 122
0 5 49 0 0 0 0 0
0 5 50 0 0 0 0 0
0 5 51 0 0 0 0 0
0 5 52 37.8049 7.40666 4.26328 1.78674 146
0 5 53 0 0 0 0 0
0 5 54 0 0 0 0 0
